dep,prov,distr,geolocalizado,nogeolocalizado,geocodificado,missing,perct_missig
CUSCO,CALCA,LAMAY,5,0,0,0,0
CUSCO,CALCA,LARES,5,0,0,0,0
CUSCO,CALCA,PISAC,4,0,0,0,0
CUSCO,CALCA,SAN SALVADOR,2,0,0,0,0
CUSCO,CALCA,TARAY,3,0,0,0,0
CUSCO,CALCA,YANATILE,11,0,0,0,0
CUSCO,CANAS,CHECCA,2,0,0,0,0
CUSCO,CANAS,KUNTURKANKI,1,0,0,0,0
CUSCO,CANAS,LANGUI,2,0,0,0,0
CUSCO,CANAS,LAYO,1,0,0,0,0
CUSCO,CANAS,PAMPAMARCA,1,0,0,0,0
CUSCO,CANAS,QUEHUE,2,0,0,0,0
CUSCO,CANAS,TUPAC AMARU,3,0,0,0,0
CUSCO,CANAS,YANAOCA,3,0,0,0,0
CUSCO,CANCHIS,CHECACUPE,1,0,0,0,0
CUSCO,CANCHIS,COMBAPATA,2,0,0,0,0
CUSCO,CANCHIS,MARANGANI,4,0,0,0,0
CUSCO,CANCHIS,PITUMARCA,2,0,0,0,0
CUSCO,CANCHIS,SAN PABLO,2,0,0,0,0
CUSCO,CANCHIS,SAN PEDRO,1,0,0,0,0
CUSCO,CANCHIS,TINTA,1,0,0,0,0
CUSCO,CHUMBIVILCAS,CAPACMARCA,2,1,1,0,0
CUSCO,CHUMBIVILCAS,CHAMACA,5,0,0,0,0
CUSCO,CHUMBIVILCAS,COLQUEMARCA,5,0,0,0,0
CUSCO,CHUMBIVILCAS,LIVITACA,7,0,0,0,0
CUSCO,CHUMBIVILCAS,LLUSCO,4,1,1,0,0
CUSCO,CHUMBIVILCAS,QUIÑOTA,3,1,1,0,0
CUSCO,CHUMBIVILCAS,VELILLE,4,2,2,0,0
CUSCO,CUSCO,CCORCA,1,0,0,0,0
CUSCO,CUSCO,POROY,2,0,0,0,0
CUSCO,CUSCO,SAYLLA,1,0,0,0,0
CUSCO,ESPINAR,ALTO PICHIGUA,1,0,0,0,0
CUSCO,ESPINAR,CONDOROMA,1,0,0,0,0
CUSCO,ESPINAR,COPORAQUE,3,0,0,0,0
CUSCO,ESPINAR,ESPINAR,13,6,6,0,0
CUSCO,ESPINAR,OCORURO,1,0,0,0,0
CUSCO,ESPINAR,PALLPATA,1,0,0,0,0
CUSCO,ESPINAR,PICHIGUA,2,0,0,0,0
CUSCO,ESPINAR,SUYCKUTAMBO,1,0,0,0,0
CUSCO,LA CONVENCION,ECHARATE,25,3,3,0,0
CUSCO,LA CONVENCION,HUAYOPATA,6,0,0,0,0
CUSCO,LA CONVENCION,KIMBIRI,9,3,3,0,0
CUSCO,LA CONVENCION,MARANURA,3,0,0,0,0
CUSCO,LA CONVENCION,MEGANTONI,16,0,0,0,0
CUSCO,LA CONVENCION,OCOBAMBA,3,0,0,0,0
CUSCO,LA CONVENCION,QUELLOUNO,8,0,0,0,0
CUSCO,LA CONVENCION,SANTA TERESA,3,0,0,0,0
CUSCO,LA CONVENCION,VILCABAMBA,8,0,0,0,0
CUSCO,LA CONVENCION,VILLA KINTIARINA,2,0,0,0,0
CUSCO,LA CONVENCION,VILLA VIRGEN,2,1,1,0,0
CUSCO,PARURO,ACCHA,1,0,0,0,0
CUSCO,PARURO,CCAPI,2,0,0,0,0
CUSCO,PARURO,COLCHA,2,0,0,0,0
CUSCO,PARURO,HUANOQUITE,1,0,0,0,0
CUSCO,PARURO,OMACHA,4,0,0,0,0
CUSCO,PARURO,PACCARITAMBO,1,0,0,0,0
CUSCO,PARURO,PARURO,1,0,0,0,0
CUSCO,PARURO,PILLPINTO,1,0,0,0,0
CUSCO,PARURO,YAURISQUE,1,0,0,0,0
CUSCO,PAUCARTAMBO,CAICAY,2,0,0,0,0
CUSCO,PAUCARTAMBO,CHALLABAMBA,3,0,0,0,0
CUSCO,PAUCARTAMBO,COLQUEPATA,5,0,0,0,0
CUSCO,PAUCARTAMBO,HUANCARANI,1,0,0,0,0
CUSCO,PAUCARTAMBO,KOSÑIPATA,2,0,0,0,0
CUSCO,PAUCARTAMBO,PAUCARTAMBO,3,0,0,0,0
CUSCO,QUISPICANCHI,ANDAHUAYLILLAS,1,0,0,0,0
CUSCO,QUISPICANCHI,CAMANTI,1,1,1,0,0
CUSCO,QUISPICANCHI,CCARHUAYO,1,0,0,0,0
CUSCO,QUISPICANCHI,CCATCA,6,0,0,0,0
CUSCO,QUISPICANCHI,CUSIPATA,2,0,0,0,0
CUSCO,QUISPICANCHI,HUARO,5,0,0,0,0
CUSCO,QUISPICANCHI,LUCRE,2,0,0,0,0
CUSCO,QUISPICANCHI,MARCAPATA,2,0,0,0,0
CUSCO,QUISPICANCHI,OCONGATE,2,0,0,0,0
CUSCO,QUISPICANCHI,OROPESA,1,0,0,0,0
CUSCO,QUISPICANCHI,QUIQUIJANA,2,0,0,0,0
CUSCO,QUISPICANCHI,URCOS,3,0,0,0,0
CUSCO,URUBAMBA,CHINCHERO,2,0,0,0,0
CUSCO,URUBAMBA,HUAYLLABAMBA,1,0,0,0,0
CUSCO,URUBAMBA,MARAS,2,0,0,0,0
CUSCO,URUBAMBA,OLLANTAYTAMBO,5,1,1,0,0
CUSCO,URUBAMBA,URUBAMBA,8,3,3,0,0
CUSCO,URUBAMBA,YUCAY,1,0,0,0,0
HUANCAVELICA,ACOBAMBA,ACOBAMBA,9,3,3,0,0
HUANCAVELICA,ACOBAMBA,ANDABAMBA,4,0,0,0,0
HUANCAVELICA,ACOBAMBA,ANTA,11,0,0,0,0
HUANCAVELICA,ACOBAMBA,CAJA,4,0,0,0,0
HUANCAVELICA,ACOBAMBA,MARCAS,4,0,0,0,0
HUANCAVELICA,ACOBAMBA,PAUCARA,10,0,0,0,0
HUANCAVELICA,ACOBAMBA,POMACOCHA,5,0,0,0,0
HUANCAVELICA,ACOBAMBA,ROSARIO,10,0,0,0,0
HUANCAVELICA,ANGARAES,ANCHONGA,8,0,0,0,0
HUANCAVELICA,ANGARAES,CALLANMARCA,1,0,0,0,0
HUANCAVELICA,ANGARAES,CCOCHACCASA,5,1,1,0,0
HUANCAVELICA,ANGARAES,CHINCHO,2,0,0,0,0
HUANCAVELICA,ANGARAES,CONGALLA,5,0,0,0,0
HUANCAVELICA,ANGARAES,HUALLAY-GRANDE,1,0,0,0,0
HUANCAVELICA,ANGARAES,HUANCA-HUANCA,2,0,0,0,0
HUANCAVELICA,ANGARAES,JULCAMARCA,1,0,0,0,0
HUANCAVELICA,ANGARAES,SAN ANTONIO DE ANTAPARCO,2,0,0,0,0
HUANCAVELICA,ANGARAES,SANTO TOMAS DE PATA,3,0,0,0,0
HUANCAVELICA,ANGARAES,SECCLLA,3,0,0,0,0
HUANCAVELICA,CASTROVIRREYNA,ARMA,4,0,0,0,0
HUANCAVELICA,CASTROVIRREYNA,AURAHUA,2,0,0,0,0
HUANCAVELICA,CASTROVIRREYNA,CAPILLAS,4,0,0,0,0
HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,5,0,0,0,0
HUANCAVELICA,CASTROVIRREYNA,CHUPAMARCA,2,0,0,0,0
HUANCAVELICA,CASTROVIRREYNA,COCAS,1,0,0,0,0
HUANCAVELICA,CASTROVIRREYNA,HUACHOS,4,0,0,0,0
HUANCAVELICA,CASTROVIRREYNA,HUAMATAMBO,1,0,0,0,0
HUANCAVELICA,CASTROVIRREYNA,MOLLEPAMPA,2,0,0,0,0
HUANCAVELICA,CASTROVIRREYNA,SAN JUAN,2,0,0,0,0
HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,4,0,0,0,0
HUANCAVELICA,CASTROVIRREYNA,TANTARA,2,0,0,0,0
HUANCAVELICA,CASTROVIRREYNA,TICRAPO,2,0,0,0,0
HUANCAVELICA,CHURCAMPA,ANCO,4,0,0,0,0
HUANCAVELICA,CHURCAMPA,CHINCHIHUASI,3,0,0,0,0
HUANCAVELICA,CHURCAMPA,CHURCAMPA,4,0,0,0,0
HUANCAVELICA,CHURCAMPA,COSME,3,0,0,0,0
HUANCAVELICA,CHURCAMPA,EL CARMEN,2,0,0,0,0
HUANCAVELICA,CHURCAMPA,LA MERCED,1,0,0,0,0
HUANCAVELICA,CHURCAMPA,LOCROJA,5,0,0,0,0
HUANCAVELICA,CHURCAMPA,PACHAMARCA,6,0,0,0,0
HUANCAVELICA,CHURCAMPA,PAUCARBAMBA,5,0,0,0,0
HUANCAVELICA,CHURCAMPA,SAN MIGUEL DE MAYOCC,2,0,0,0,0
HUANCAVELICA,CHURCAMPA,SAN PEDRO DE CORIS,4,1,1,0,0
HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,6,0,0,0,0
HUANCAVELICA,HUANCAVELICA,ACORIA,28,0,0,0,0
HUANCAVELICA,HUANCAVELICA,ASCENSION,3,1,1,0,0
HUANCAVELICA,HUANCAVELICA,CONAYCA,1,0,0,0,0
HUANCAVELICA,HUANCAVELICA,CUENCA,3,0,0,0,0
HUANCAVELICA,HUANCAVELICA,HUACHOCOLPA,2,1,1,0,0
HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,25,7,7,0,0
HUANCAVELICA,HUANCAVELICA,HUANDO,6,0,0,0,0
HUANCAVELICA,HUANCAVELICA,HUAYLLAHUARA,1,0,0,0,0
HUANCAVELICA,HUANCAVELICA,IZCUCHACA,1,0,0,0,0
HUANCAVELICA,HUANCAVELICA,LARIA,2,0,0,0,0
HUANCAVELICA,HUANCAVELICA,MANTA,3,0,0,0,0
HUANCAVELICA,HUANCAVELICA,MARISCAL CACERES,1,0,0,0,0
HUANCAVELICA,HUANCAVELICA,MOYA,2,0,0,0,0
HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO,2,0,0,0,0
HUANCAVELICA,HUANCAVELICA,PALCA,5,0,0,0,0
HUANCAVELICA,HUANCAVELICA,PILCHACA,1,0,0,0,0
HUANCAVELICA,HUANCAVELICA,VILCA,4,0,0,0,0
HUANCAVELICA,HUANCAVELICA,YAULI,25,0,0,0,0
HUANCAVELICA,HUAYTARA,AYAVI,2,0,0,0,0
HUANCAVELICA,HUAYTARA,CORDOVA,3,1,1,0,0
HUANCAVELICA,HUAYTARA,HUAYACUNDO ARMA,1,0,0,0,0
HUANCAVELICA,HUAYTARA,HUAYTARA,3,0,0,0,0
HUANCAVELICA,HUAYTARA,LARAMARCA,1,0,0,0,0
HUANCAVELICA,HUAYTARA,OCOYO,3,0,0,0,0
HUANCAVELICA,HUAYTARA,PILPICHACA,9,0,0,0,0
HUANCAVELICA,HUAYTARA,QUERCO,1,0,0,0,0
HUANCAVELICA,HUAYTARA,QUITO ARMA,2,0,0,0,0
HUANCAVELICA,HUAYTARA,SAN ANTONIO DE CUSICANCHA,2,0,0,0,0
HUANCAVELICA,HUAYTARA,SAN FRANCISCO DE SANGAYAICO,3,0,0,0,0
HUANCAVELICA,HUAYTARA,SAN ISIDRO,1,0,0,0,0
HUANCAVELICA,HUAYTARA,SANTIAGO DE CHOCORVOS,8,0,0,0,0
HUANCAVELICA,HUAYTARA,SANTIAGO DE QUIRAHUARA,1,0,0,0,0
HUANCAVELICA,HUAYTARA,SANTO DOMINGO DE CAPILLAS,3,0,0,0,0
HUANCAVELICA,HUAYTARA,TAMBO,1,0,0,0,0
HUANCAVELICA,TAYACAJA,ACOSTAMBO,6,0,0,0,0
HUANCAVELICA,TAYACAJA,ACRAQUIA,4,0,0,0,0
HUANCAVELICA,TAYACAJA,AHUAYCHA,5,0,0,0,0
HUANCAVELICA,TAYACAJA,ANDAYMARCA,3,0,0,0,0
HUANCAVELICA,TAYACAJA,COLCABAMBA,11,0,0,0,0
HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,6,1,1,0,0
HUANCAVELICA,TAYACAJA,HUACHOCOLPA,4,0,0,0,0
HUANCAVELICA,TAYACAJA,HUARIBAMBA,6,0,0,0,0
HUANCAVELICA,TAYACAJA,ÑAHUIMPUQUIO,2,0,0,0,0
HUANCAVELICA,TAYACAJA,PAMPAS,8,4,4,0,0
HUANCAVELICA,TAYACAJA,PAZOS,6,0,0,0,0
HUANCAVELICA,TAYACAJA,PICHOS,2,0,0,0,0
HUANCAVELICA,TAYACAJA,QUICHUAS,5,0,0,0,0
HUANCAVELICA,TAYACAJA,QUISHUAR,1,0,0,0,0
HUANCAVELICA,TAYACAJA,ROBLE,1,0,0,0,0
HUANCAVELICA,TAYACAJA,SALCABAMBA,5,0,0,0,0
HUANCAVELICA,TAYACAJA,SALCAHUASI,4,0,0,0,0
HUANCAVELICA,TAYACAJA,SAN MARCOS DE ROCCHAC,4,0,0,0,0
HUANCAVELICA,TAYACAJA,SANTIAGO DE TUCUMA,1,0,0,0,0
HUANCAVELICA,TAYACAJA,SURCUBAMBA,7,0,0,0,0
HUANCAVELICA,TAYACAJA,TINTAY PUNCU,4,0,0,0,0
HUANUCO,AMBO,AMBO,7,0,0,0,0
HUANUCO,AMBO,CAYNA,3,0,0,0,0
HUANUCO,AMBO,COLPAS,3,0,0,0,0
HUANUCO,AMBO,CONCHAMARCA,2,1,1,0,0
HUANUCO,AMBO,HUACAR,4,0,0,0,0
HUANUCO,AMBO,SAN FRANCISCO,3,0,0,0,0
HUANUCO,AMBO,SAN RAFAEL,11,0,0,0,0
HUANUCO,AMBO,TOMAY-KICHWA,1,0,0,0,0
HUANUCO,DOS DE MAYO,CHUQUIS,4,0,0,0,0
HUANUCO,DOS DE MAYO,LA UNION,2,0,0,0,0
HUANUCO,DOS DE MAYO,MARIAS,6,0,0,0,0
HUANUCO,DOS DE MAYO,PACHAS,6,0,0,0,0
HUANUCO,DOS DE MAYO,RIPAN,3,0,0,0,0
HUANUCO,DOS DE MAYO,SHUNQUI,2,0,0,0,0
HUANUCO,DOS DE MAYO,SILLAPATA,1,0,0,0,0
HUANUCO,DOS DE MAYO,YANAS,1,0,0,0,0
HUANUCO,HUACAYBAMBA,CANCHABAMBA,2,0,0,0,0
HUANUCO,HUACAYBAMBA,COCHABAMBA,2,0,0,0,0
HUANUCO,HUACAYBAMBA,HUACAYBAMBA,3,0,0,0,0
HUANUCO,HUACAYBAMBA,PINRA,3,0,0,0,0
HUANUCO,HUAMALIES,ARANCAY,2,0,0,0,0
HUANUCO,HUAMALIES,CHAVIN DE PARIARCA,3,0,0,0,0
HUANUCO,HUAMALIES,JACAS GRANDE,5,0,0,0,0
HUANUCO,HUAMALIES,JIRCAN,1,0,0,0,0
HUANUCO,HUAMALIES,LLATA,6,0,0,0,0
HUANUCO,HUAMALIES,MIRAFLORES,1,0,0,0,0
HUANUCO,HUAMALIES,MONZON,10,0,0,0,0
HUANUCO,HUAMALIES,PUNCHAO,1,0,0,0,0
HUANUCO,HUAMALIES,PUÑOS,3,0,0,0,0
HUANUCO,HUAMALIES,SINGA,4,0,0,0,0
HUANUCO,HUAMALIES,TANTAMAYO,3,0,0,0,0
HUANUCO,HUANUCO,CHINCHAO,5,0,0,0,0
HUANUCO,HUANUCO,CHURUBAMBA,8,0,0,0,0
HUANUCO,HUANUCO,HUANUCO,50,15,15,0,0
HUANUCO,HUANUCO,MARGOS,4,0,0,0,0
HUANUCO,HUANUCO,PILLCO MARCA,4,1,1,0,0
HUANUCO,HUANUCO,QUISQUI,3,0,0,0,0
HUANUCO,HUANUCO,SAN FRANCISCO DE CAYRAN,2,0,0,0,0
HUANUCO,HUANUCO,SAN PABLO DE PILLAO,5,0,0,0,0
HUANUCO,HUANUCO,SAN PEDRO DE CHAULAN,3,0,0,0,0
HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,12,0,0,0,0
HUANUCO,HUANUCO,YACUS,4,0,0,0,0
HUANUCO,HUANUCO,YARUMAYO,3,0,0,0,0
HUANUCO,LAURICOCHA,BAÑOS,1,2,2,0,0
HUANUCO,LAURICOCHA,JIVIA,1,0,0,0,0
HUANUCO,LAURICOCHA,QUEROPALCA,1,0,0,0,0
HUANUCO,LAURICOCHA,SAN FRANCISCO DE ASIS,2,0,0,0,0
HUANUCO,LEONCIO PRADO,CASTILLO GRANDE,2,0,0,0,0
HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,7,0,0,0,0
HUANUCO,LEONCIO PRADO,HERMILIO VALDIZAN,6,0,0,0,0
HUANUCO,LEONCIO PRADO,LUYANDO,9,0,0,0,0
HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,5,0,0,0,0
HUANUCO,LEONCIO PRADO,PUCAYACU,4,0,0,0,0
HUANUCO,LEONCIO PRADO,PUEBLO NUEVO,1,0,0,0,0
HUANUCO,LEONCIO PRADO,SANTO DOMINGO DE ANDA,1,0,0,0,0
HUANUCO,MARAÑON,CHOLON,5,0,0,0,0
HUANUCO,MARAÑON,HUACRACHUCO,8,0,0,0,0
HUANUCO,MARAÑON,LA MORADA,1,0,0,0,0
HUANUCO,MARAÑON,SAN BUENAVENTURA,3,0,0,0,0
HUANUCO,MARAÑON,SANTA ROSA DE ALTO YANAJANCA,3,0,0,0,0
HUANUCO,PACHITEA,CHAGLLA,5,0,0,0,0
HUANUCO,PACHITEA,MOLINO,6,0,0,0,0
HUANUCO,PACHITEA,PANAO,6,0,0,0,0
HUANUCO,PACHITEA,UMARI,8,0,0,0,0
HUANUCO,PUERTO INCA,CODO DEL POZUZO,10,0,0,0,0
HUANUCO,PUERTO INCA,HONORIA,6,0,0,0,0
HUANUCO,PUERTO INCA,TOURNAVISTA,5,0,0,0,0
HUANUCO,PUERTO INCA,YUYAPICHIS,7,0,0,0,0
HUANUCO,YAROWILCA,APARICIO POMARES,3,0,0,0,0
HUANUCO,YAROWILCA,CAHUAC,1,0,0,0,0
HUANUCO,YAROWILCA,CHACABAMBA,1,1,1,0,0
HUANUCO,YAROWILCA,CHAVINILLO,5,0,0,0,0
HUANUCO,YAROWILCA,CHORAS,3,0,0,0,0
HUANUCO,YAROWILCA,JACAS CHICO,1,0,0,0,0
HUANUCO,YAROWILCA,OBAS,5,0,0,0,0
HUANUCO,YAROWILCA,PAMPAMARCA,1,0,0,0,0
ICA,CHINCHA,ALTO LARAN,3,0,0,0,0
ICA,CHINCHA,CHAVIN,2,0,0,0,0
ICA,CHINCHA,CHINCHA ALTA,19,22,22,0,0
ICA,CHINCHA,CHINCHA BAJA,3,0,0,0,0
ICA,CHINCHA,EL CARMEN,4,0,0,0,0
ICA,CHINCHA,GROCIO PRADO,3,0,0,0,0
ICA,CHINCHA,SAN JUAN DE YANAC,2,0,0,0,0
ICA,CHINCHA,SAN PEDRO DE HUACARPANA,4,0,0,0,0
ICA,CHINCHA,SUNAMPE,2,2,2,0,0
ICA,ICA,LA TINGUIÑA,3,1,1,0,0
ICA,ICA,LOS AQUIJES,5,1,1,0,0
ICA,ICA,OCUCAJE,4,0,0,0,0
ICA,ICA,PACHACUTEC,2,0,0,0,0
ICA,ICA,PARCONA,4,0,0,0,0
ICA,ICA,PUEBLO NUEVO,4,0,0,0,0
ICA,ICA,SALAS,5,2,2,0,0
ICA,ICA,SAN JOSE DE LOS MOLINOS,4,0,0,0,0
ICA,ICA,SAN JUAN BAUTISTA,3,0,0,0,0
ICA,ICA,SANTIAGO,4,2,2,0,0
ICA,ICA,SUBTANJALLA,6,1,1,0,0
ICA,ICA,TATE,4,0,0,0,0
ICA,ICA,YAUCA DEL ROSARIO,4,0,0,0,0
ICA,NAZCA,CHANGUILLO,4,0,0,0,0
ICA,NAZCA,EL INGENIO,3,0,0,0,0
ICA,NAZCA,NAZCA,6,6,6,0,0
ICA,NAZCA,VISTA ALEGRE,6,3,3,0,0
ICA,PALPA,LLIPATA,1,0,0,0,0
ICA,PALPA,PALPA,6,7,7,0,0
ICA,PALPA,RIO GRANDE,4,0,0,0,0
ICA,PALPA,SANTA CRUZ,3,0,0,0,0
ICA,PALPA,TIBILLO,1,0,0,0,0
ICA,PISCO,HUANCANO,2,0,0,0,0
ICA,PISCO,HUMAY,4,0,0,0,0
ICA,PISCO,INDEPENDENCIA,6,1,1,0,0
ICA,PISCO,PARACAS,5,0,0,0,0
ICA,PISCO,SAN ANDRES,3,0,0,0,0
ICA,PISCO,SAN CLEMENTE,3,1,1,0,0
JUNIN,CHANCHAMAYO,CHANCHAMAYO,16,15,15,0,0
JUNIN,CHANCHAMAYO,PERENE,28,1,1,0,0
JUNIN,CHANCHAMAYO,PICHANAQUI,23,9,9,0,0
JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,4,0,0,0,0
JUNIN,CHANCHAMAYO,SAN RAMON,8,6,6,0,0
JUNIN,CHANCHAMAYO,VITOC,3,1,1,0,0
JUNIN,CHUPACA,AHUAC,3,0,0,0,0
JUNIN,CHUPACA,CHONGOS BAJO,2,0,0,0,0
JUNIN,CHUPACA,CHUPACA,3,0,0,0,0
JUNIN,CHUPACA,HUACHAC,4,0,0,0,0
JUNIN,CHUPACA,HUAMANCACA CHICO,2,0,0,0,0
JUNIN,CHUPACA,SAN JUAN DE JARPA,2,0,0,0,0
JUNIN,CHUPACA,SAN JUAN DE YSCOS,3,0,0,0,0
JUNIN,CHUPACA,TRES DE DICIEMBRE,1,0,0,0,0
JUNIN,CHUPACA,YANACANCHA,2,0,0,0,0
JUNIN,CONCEPCION,ACO,3,0,0,0,0
JUNIN,CONCEPCION,ANDAMARCA,4,0,0,0,0
JUNIN,CONCEPCION,CHAMBARA,4,0,0,0,0
JUNIN,CONCEPCION,COCHAS,4,0,0,0,0
JUNIN,CONCEPCION,COMAS,7,0,0,0,0
JUNIN,CONCEPCION,CONCEPCION,4,1,1,0,0
JUNIN,CONCEPCION,HEROINAS TOLEDO,1,0,0,0,0
JUNIN,CONCEPCION,MANZANARES,1,0,0,0,0
JUNIN,CONCEPCION,MARISCAL CASTILLA,1,0,0,0,0
JUNIN,CONCEPCION,MATAHUASI,3,0,0,0,0
JUNIN,CONCEPCION,MITO,3,0,0,0,0
JUNIN,CONCEPCION,NUEVE DE JULIO,1,0,0,0,0
JUNIN,CONCEPCION,ORCOTUNA,2,0,0,0,0
JUNIN,CONCEPCION,SAN JOSE DE QUERO,6,0,0,0,0
JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,2,0,0,0,0
JUNIN,HUANCAYO,CARHUACALLANGA,1,0,0,0,0
JUNIN,HUANCAYO,CHACAPAMPA,3,1,1,0,0
JUNIN,HUANCAYO,CHICCHE,3,0,0,0,0
JUNIN,HUANCAYO,CHONGOS ALTO,1,0,0,0,0
JUNIN,HUANCAYO,CHUPURO,3,0,0,0,0
JUNIN,HUANCAYO,COLCA,2,0,0,0,0
JUNIN,HUANCAYO,CULLHUAS,4,0,0,0,0
JUNIN,HUANCAYO,HUACRAPUQUIO,1,0,0,0,0
JUNIN,HUANCAYO,HUALHUAS,1,0,0,0,0
JUNIN,HUANCAYO,HUANCAN,2,0,0,0,0
JUNIN,HUANCAYO,HUASICANCHA,1,0,0,0,0
JUNIN,HUANCAYO,HUAYUCACHI,3,0,0,0,0
JUNIN,HUANCAYO,INGENIO,2,0,0,0,0
JUNIN,HUANCAYO,PARIAHUANCA,10,0,0,0,0
JUNIN,HUANCAYO,PILCOMAYO,2,0,0,0,0
JUNIN,HUANCAYO,PUCARA,5,0,0,0,0
JUNIN,HUANCAYO,QUICHUAY,1,0,0,0,0
JUNIN,HUANCAYO,QUILCAS,2,0,0,0,0
JUNIN,HUANCAYO,SAN AGUSTIN,2,0,0,0,0
JUNIN,HUANCAYO,SAN JERONIMO DE TUNAN,1,0,0,0,0
JUNIN,HUANCAYO,SAÑO,1,0,0,0,0
JUNIN,HUANCAYO,SAPALLANGA,7,0,0,0,0
JUNIN,HUANCAYO,SICAYA,1,0,0,0,0
JUNIN,HUANCAYO,VIQUES,1,0,0,0,0
JUNIN,JAUJA,ACOLLA,7,0,0,0,0
JUNIN,JAUJA,APATA,5,0,0,0,0
JUNIN,JAUJA,ATAURA,1,0,0,0,0
JUNIN,JAUJA,CANCHAYLLO,2,0,0,0,0
JUNIN,JAUJA,CURICACA,1,0,0,0,0
JUNIN,JAUJA,EL MANTARO,1,0,0,0,0
JUNIN,JAUJA,HUAMALI,1,0,0,0,0
JUNIN,JAUJA,HUARIPAMPA,1,0,0,0,0
JUNIN,JAUJA,HUERTAS,1,0,0,0,0
JUNIN,JAUJA,JANJAILLO,1,0,0,0,0
JUNIN,JAUJA,JAUJA,10,3,3,0,0
JUNIN,JAUJA,JULCAN,1,0,0,0,0
JUNIN,JAUJA,LEONOR ORDOÑEZ,1,0,0,0,0
JUNIN,JAUJA,LLOCLLAPAMPA,2,0,0,0,0
JUNIN,JAUJA,MARCO,1,0,0,0,0
JUNIN,JAUJA,MASMA,2,0,0,0,0
JUNIN,JAUJA,MASMA CHICCHE,1,0,0,0,0
JUNIN,JAUJA,MOLINOS,3,0,0,0,0
JUNIN,JAUJA,MONOBAMBA,3,0,0,0,0
JUNIN,JAUJA,MUQUI,1,0,0,0,0
JUNIN,JAUJA,MUQUIYAUYO,1,1,1,0,0
JUNIN,JAUJA,PACA,2,0,0,0,0
JUNIN,JAUJA,PACCHA,4,0,0,0,0
JUNIN,JAUJA,PANCAN,2,0,0,0,0
JUNIN,JAUJA,PARCO,2,0,0,0,0
JUNIN,JAUJA,POMACANCHA,3,0,0,0,0
JUNIN,JAUJA,RICRAN,2,0,0,0,0
JUNIN,JAUJA,SAN LORENZO,1,0,0,0,0
JUNIN,JAUJA,SAN PEDRO DE CHUNAN,1,0,0,0,0
JUNIN,JAUJA,SAUSA,1,0,0,0,0
JUNIN,JAUJA,SINCOS,5,0,0,0,0
JUNIN,JAUJA,TUNAN MARCA,1,0,0,0,0
JUNIN,JAUJA,YAULI,1,0,0,0,0
JUNIN,JAUJA,YAUYOS,3,0,0,0,0
JUNIN,JUNIN,CARHUAMAYO,2,0,0,0,0
JUNIN,JUNIN,JUNIN,4,0,0,0,0
JUNIN,JUNIN,ONDORES,3,0,0,0,0
JUNIN,JUNIN,ULCUMAYO,14,0,0,0,0
JUNIN,SATIPO,COVIRIALI,6,0,0,0,0
JUNIN,SATIPO,LLAYLLA,3,0,0,0,0
JUNIN,SATIPO,PAMPA HERMOSA,6,0,0,0,0
JUNIN,SATIPO,PANGOA,38,2,2,0,0
JUNIN,SATIPO,RIO NEGRO,17,0,0,0,0
JUNIN,SATIPO,SATIPO,19,5,5,0,0
JUNIN,SATIPO,VIZCATAN DEL ENE,5,0,0,0,0
JUNIN,TARMA,ACOBAMBA,6,0,0,0,0
JUNIN,TARMA,HUARICOLCA,3,0,0,0,0
JUNIN,TARMA,HUASAHUASI,7,0,0,0,0
JUNIN,TARMA,LA UNION,5,0,0,0,0
JUNIN,TARMA,PALCA,8,0,0,0,0
JUNIN,TARMA,PALCAMAYO,7,0,0,0,0
JUNIN,TARMA,SAN PEDRO DE CAJAS,7,0,0,0,0
JUNIN,TARMA,TAPO,6,0,0,0,0
JUNIN,TARMA,TARMA,19,6,6,0,0
JUNIN,YAULI,CHACAPALPA,1,0,0,0,0
JUNIN,YAULI,HUAY HUAY,3,0,0,0,0
JUNIN,YAULI,LA OROYA,4,2,2,0,0
JUNIN,YAULI,MARCAPOMACOCHA,3,0,0,0,0
JUNIN,YAULI,MOROCOCHA,7,1,1,0,0
JUNIN,YAULI,PACCHA,1,0,0,0,0
JUNIN,YAULI,SANTA BARBARA DE CARHUACAYAN,2,1,1,0,0
JUNIN,YAULI,SANTA ROSA DE SACCO,5,0,0,0,0
JUNIN,YAULI,SUITUCANCHA,1,0,0,0,0
JUNIN,YAULI,YAULI,5,1,1,0,0
LA LIBERTAD,ASCOPE,ASCOPE,3,0,0,0,0
LA LIBERTAD,ASCOPE,CASA GRANDE,4,0,0,0,0
LA LIBERTAD,ASCOPE,CHICAMA,4,0,0,0,0
LA LIBERTAD,ASCOPE,CHOCOPE,6,0,0,0,0
